stop_id,stop_name,stop_lat,stop_lon
LMuvill1,MORTROUX Chemin du VouǸ,50.710107,5.747938
LMuvill2,MORTROUX Chemin du VouǸ,50.709865,5.747685
LmUvilz1,MURRINGEN Haus Vilz,50.404054,6.31482
LmUvilz2,MURRINGEN Haus Vilz,50.404166,6.314907
LmUzent1,MURRINGEN Zentrum,50.40633,6.301029
LmUzent2,MURRINGEN Zentrum,50.406404,6.301177
LMvgare1,MARTINRIVE Gare,50.478598,5.637144
LMvgare2,MARTINRIVE Gare,50.479022,5.637009
LMvrabo1,MARTINRIVE Raborive,50.477567,5.64477
LMvrabo2,MARTINRIVE Raborive,50.477706,5.644707
LMXaven1,MOXHE Route d'Avennes,50.633768,5.082572
LMXaven2,MOXHE Route d'Avennes,50.633226,5.082472
LMXempe1,MOXHE Empereur,50.637994,5.081631
LMXempe2,MOXHE Empereur,50.637275,5.081566
LMXroye1,MOXHE CafǸ Royer,50.630442,5.083686
LMXroye2,MOXHE CafǸ Royer,50.630861,5.083109
LmYamel1,WALLERODE Ameler Strasse 105,50.30546,6.148486
LmYamel2,WALLERODE Ameler Strasse 105,50.305403,6.14863
LMYchpl1,MY Chapelle,50.413456,5.586818
LMYchpl2,MY Chapelle,50.413586,5.586855
LmYeich1,MEYERODE Eichenhardt,50.335966,6.182862
LmYeich2,MEYERODE Eichenhardt,50.33579,6.182967
LmYkirc1,MEYERODE Kirche,50.329491,6.188027
LmYkirc2,MEYERODE Kirche,50.329558,6.188145
LmYkreu1,MEYERODE Kreuz,50.331448,6.185771
LmYkreu2,MEYERODE Kreuz,50.331637,6.185764
LMYlieg1,MY Route de Li  ge,50.415983,5.588646
LMYlieg2,MY Route de Li  ge,50.415801,5.588616
LMYmont1,MY Sur le Mont,50.405742,5.570254
LMYmont2,MY Sur le Mont,50.405835,5.570057
LMYroin1,MY Rue du Roinay,50.420768,5.580225
LMYroin2,MY Rue du Roinay,50.421071,5.580586
LMYvill1,MY Ville,50.419156,5.59453
LMYvill2,MY Ville,50.418898,5.594357
LmYwall1,WALLERODE Walleroder Strasse,50.301379,6.142459
LmYwall2,WALLERODE Walleroder Strasse,50.301288,6.142594
LNAanne1,NANDRIN Chapelle Ste-Anne,50.506505,5.415179
LNAanne2,NANDRIN Chapelle Ste-Anne,50.506551,5.414474
LNAbass1,NANDRIN La Basse,50.502315,5.423651
LNAbass2,NANDRIN La Basse,50.50246,5.424126
LNAbois1,NANDRIN Bois de la Bouhaye,50.493375,5.418549
LNAbois2,NANDRIN Bois de la Bouhaye,50.493369,5.418759
LNAbouh1,NANDRIN La Bouhaye,50.497007,5.420179
LNAbouh2,NANDRIN La Bouhaye,50.496871,5.420388
LNAbras1,NANDRIN Quatre Bras,50.505937,5.39812
LNAbras2,NANDRIN Quatre Bras,50.506168,5.397406
LNAbras3,NANDRIN Quatre Bras,50.506025,5.394777
LNAbras4,NANDRIN Quatre Bras,50.505848,5.394939
LNAbras5,NANDRIN Quatre Bras,50.505758,5.396379
LNAdemo1,NANDRIN Maison Demoulin,50.505648,5.40618
LNAdemo2,NANDRIN Maison Demoulin,50.505767,5.406265
LNAmart1,NANDRIN Ecole St-Martin,50.504446,5.422246
LNAmart2,NANDRIN Ecole St-Martin,50.504608,5.422288
LNAplac1,NANDRIN Place A. Botty,50.506643,5.420204
LNAplac2,NANDRIN Place A. Botty,50.506919,5.420163
LNCcedr1,NEUVILLE-EN-CONDROZ Place des C  dres,50.548722,5.486747
LNCcedr2,NEUVILLE-EN-CONDROZ Place des C  dres,50.548442,5.486728
LNCchau1,NEUVILLE-EN-CONDROZ AllǸe du Chǽteau,50.551694,5.455865
LNCchau2,NEUVILLE-EN-CONDROZ AllǸe du Chǽteau,50.551894,5.455158
LNCchau3,NEUVILLE-EN-CONDROZ AllǸe du Chǽteau,50.551916,5.455785
LNCchev1,NEUVILLE-EN-CONDROZ Avenue de la ChevauchǸe,50.548581,5.481134
LNCchev2,NEUVILLE-EN-CONDROZ Avenue de la ChevauchǸe,50.547803,5.481374
LNCchev4,NEUVILLE-EN-CONDROZ Avenue de la ChevauchǸe,50.548461,5.481102
LNCdoma3,NEUVILLE-EN-CONDROZ Domaine,50.543466,5.487361
LNCdoma4,NEUVILLE-EN-CONDROZ Domaine,50.543599,5.487447
LNCdoma6,NEUVILLE-EN-CONDROZ Domaine,50.543886,5.489608
LNCecdo1,NEUVILLE-EN-CONDROZ Ecole Communale du Domaine,50.549537,5.488999
LNCesne1,NEUVILLE-EN-CONDROZ Route d'Esneux,50.545712,5.456797
LNCesne2,NEUVILLE-EN-CONDROZ Route d'Esneux,50.545652,5.456656
LNCfawe1,NEUVILLE-EN-CONDROZ Sentier des 7 Fawes,50.541546,5.46055
LNCfawe2,NEUVILLE-EN-CONDROZ Sentier des 7 Fawes,50.541553,5.460319
LNCgene1,NEUVILLE-EN-CONDROZ Rue des GenǦts,50.548514,5.483805
LNCgene2,NEUVILLE-EN-CONDROZ Rue des GenǦts,50.548558,5.483289
LNChock1,NEUVILLE-EN-CONDROZ Rue du Hock,50.555504,5.453175
LNCimpe1,NEUVILLE-EN-CONDROZ ImpǸrial Rognac,50.543917,5.480384
LNClila1,NEUVILLE-EN-CONDROZ Avenue des Lilas,50.546154,5.485806
LNClila2,NEUVILLE-EN-CONDROZ Avenue des Lilas,50.546367,5.486221
LNCloui1,NEUVILLE-EN-CONDROZ AllǸe Marie-Louise,50.549946,5.473006
LNCmada1,NEUVILLE-EN-CONDROZ Chemin Madame,50.552342,5.459219
LNCmada2,NEUVILLE-EN-CONDROZ Chemin Madame,50.552249,5.459194
LNCmarc1,NEUVILLE-EN-CONDROZ ChaussǸe de Marche,50.555836,5.452139
LNCmc--1,NEUVILLE-EN-CONDROZ Maison Communale,50.550724,5.448936
LNCmc--2,NEUVILLE-EN-CONDROZ Maison Communale,50.550716,5.449116
LNCmele1,NEUVILLE-EN-CONDROZ avenue des MǸl  zes,50.543303,5.473996
LNCmoul1,NEUVILLE-EN-CONDROZ Rue du Moulin,50.553839,5.455412
LNCneuv1,NEUVILLE-EN-CONDROZ Dr  ve du Bois de Neuville,50.552847,5.469119
LNCneuv2,NEUVILLE-EN-CONDROZ Dr  ve du Bois de Neuville,50.55399,5.472709
LNCneuv3,NEUVILLE-EN-CONDROZ Dr  ve du Bois de Neuville,50.553833,5.473243
LNCpi331,NEUVILLE-EN-CONDROZ Avenue des Pins,50.543706,5.477954
LNCrami1,NEUVILLE-EN-CONDROZ Avenue des Ramiers,50.542485,5.457383
LNCsart1,NEUVILLE-EN-CONDROZ Rue des Grands Sarts,50.553588,5.463058
LNCsart2,NEUVILLE-EN-CONDROZ Rue des Grands Sarts,50.553407,5.463037
LNCsera1,NEUVILLE-EN-CONDROZ Route de Seraing,50.545695,5.491813
LNCsera2,NEUVILLE-EN-CONDROZ Route de Seraing,50.545499,5.493054
LNCspor1,NEUVILLE-EN-CONDROZ Centre sportif,50.547298,5.489946
LNCspor2,NEUVILLE-EN-CONDROZ Centre sportif,50.546521,5.490645
LNCtour1,NEUVILLE-EN-CONDROZ Rue des Tourterelles,50.547509,5.456281
LNCvann1,NEUVILLE-EN-CONDROZ Avenue des Vanneaux,50.544347,5.454542
LNCvill1,NEUVILLE-EN-CONDROZ Rue du Village,50.550225,5.452675
LNCvill2,NEUVILLE-EN-CONDROZ Rue du Village,50.550475,5.452269
LnDdorf1,NEIDINGEN Dorf,50.249515,6.145876
LnDkreu1,NEIDINGEN Kreuzung,50.260091,6.149067
LnDkreu2,NEIDINGEN Kreuzung,50.259995,6.149202
LnDrund1,NEIDINGEN Runder Platz,50.25055,6.147695
LnDrund2,NEIDINGEN Runder Platz,50.250423,6.148064
LnDthel1,NEIDINGEN Haus Thelen,50.25659,6.14942
LnDthel2,NEIDINGEN Haus Thelen,50.256604,6.149558
LnDvenn1,NEIDINGEN Vennbahnweg,50.253485,6.149147
LnDvenn2,NEIDINGEN Vennbahnweg,50.253069,6.149241
LnE79--1,NIEDER-EMMELS 79,50.307762,6.096398
LnE79--2,NIEDER-EMMELS 79,50.307894,6.096511
LNEbo471,NESSONVAUX Bois d'Olne 47,50.58439,5.769132
LNEbo472,NESSONVAUX Bois d'Olne 47,50.584297,5.769245
LNEbois1,NESSONVAUX Bois d'Olne,50.580881,5.758384
LNEbois2,NESSONVAUX Bois d'Olne,50.580923,5.759094
LNEcite1,NESSONVAUX CitǸ,50.573775,5.74868
LNEcite2,NESSONVAUX CitǸ,50.573619,5.748565
LNEcouc1,NESSONVAUX Coucoumont,50.56779,5.733795
LNEcouc2,NESSONVAUX Coucoumont,50.567597,5.73391
LNEec--1,NESSONVAUX Ecole Communale,50.575882,5.735805
LNEec--2,NESSONVAUX Ecole Communale,50.575822,5.736014
LnEfrie1,NIEDER-EMMELS Friedhof,50.303077,6.09856
LnEfrie2,NIEDER-EMMELS Friedhof,50.302968,6.098635
LNEgare*,NESSONVAUX Gare,50.572273,5.74162
