stop_id,stop_name,stop_lat,stop_lon
S8822715,Puurs,51.077216,4.282701
S8822772,Bornem,51.09923,4.24053
S8822814,Boom,51.090713,4.360698
S8822848,Ruisbroek-Sauvegarde,51.081027,4.325001
S8824158,Hoboken-Polder,51.182697,4.347787
S8824224,Hemiksem,51.136245,4.338294
S8824232,Schelle,51.125509,4.340261
S8824240,Niel,51.111596,4.338591
S8831005,Hasselt,50.930826,5.327631
S8831039,Alken,50.886834,5.292867
S8831088,Schulen,50.963761,5.187405
S8831112,Diepenbeek,50.910454,5.419946
S8831138,Bilzen,50.86864,5.50938
S8831310,Tongres,50.784403,5.47328
S8831401,Diest,50.99334,5.05003
S8831765,Genk,50.967056,5.497683
S8831781,Bokrijk,50.955815,5.408383
S8831807,Saint-Trond,50.81762,5.17665
S8832003,Bourg-Léopold,51.11731,5.25729
S8832045,Balen,51.169098,5.164985
S8832227,Beverlo,51.087724,5.234375
S8832235,Beringen,51.0506,5.23589
S8832243,Heusden,51.038205,5.281786
S8832250,Zolder,51.03352,5.330274
S8832334,Zonhoven,50.98956,5.348813
S8832375,Kiewit,50.954845,5.350226
S8832409,Mol,51.191052,5.116333
S8832433,Geel,51.168957,4.988611
S8832458,Olen,51.17403,4.9025
S8832565,Lommel,51.211564,5.312032
S8832573,Overpelt,51.215622,5.422756
S8832615,Neerpelt,51.222365,5.43717
S8832664,Hamont,51.246422,5.543276
S8833001,Louvain,50.882282,4.715868
S8833050,Vertrijk,50.83628,4.83552
S8833126,Heverlee,50.862529,4.695201
S8833134,Oud-Heverlee,50.83593,4.65331
S8833159,Sint-Joris-Weert,50.80063,4.651728
S8833175,Wijgmaal,50.922745,4.701478
S8833209,Aarschot,50.98441,4.82404
S8833233,Wezemaal,50.95626,4.747681
S8833258,Langdorp,51.00247,4.86354
S8833266,Testelt,51.00986,4.94583
S8833274,Zichem,51.00669,4.98736
S8833308,Tirlemont,50.80802,4.92581
S8833449,Ezemaal,50.77213,4.99422
S8833605,Landen,50.74793,5.07966
S8833670,Neerwinden,50.76396,5.03632
S8841004,Liège-Guillemins,50.624551,5.566698
S8841202,Ans,50.66121,5.5097
